Id,SalePrice
1461,124368.99666666667
1462,135807.55
1463,175550.69
1464,187579.82
1465,206522.21666666667
1466,179226.24444444446
1467,166316.26722222223
1468,178327.4
1469,179971.98666666666
1470,108976.92666666667
1471,186747.98
1472,90047.01587301587
1473,93796.84666666666
1474,158563.07333333333
1475,142209.75
1476,405618.75
1477,248282.10333333333
1478,327250.2733333333
1479,285679.31333333335
1480,472757.5466666667
1481,340475.62333333335
1482,209530.01
1483,177164.76
1484,178245.84
1485,167080.28
1486,213098.75
1487,357967.7833333333
1488,249692.14666666667
1489,209039.63
1490,195638.38666666666
1491,188963.4011111111
1492,103884.08333333333
1493,176370.96666666667
1494,294252.9033333333
1495,287643.64666666667
1496,221292.14416666667
1497,204104.08333333334
1498,150750.88
1499,150681.74666666667
1500,151551.79655555557
1501,172553.43916666668
1502,149444.98
1503,302939.69333333336
1504,232949.52333333335
1505,224328.58166666667
1506,185544.98
1507,225910.86666666667
1508,188768.66666666666
1509,162884.55666666667
1510,145736.35666666666
1511,151048.14
1512,176921.08
1513,142352.86333333334
1514,145725.21333333335
1515,181537.78
1516,158020.32
1517,147572.97333333333
1518,131641.23333333334
1519,222001.14952380952
1520,137995.33333333334
1521,144660.75
1522,162919.60666666666
1523,117910.43
1524,122363.11
1525,122469.83333333333
1526,123704.33333333333
1527,98338.39333333333
1528,124905.64333333333
1529,143753.83333333334
1530,162966.5
1531,133506.14666666667
1532,103843.93333333333
1533,126231.94666666667
1534,125177.57666666666
1535,145127.64333333334
1536,111499.98
1537,85778.85333333333
1538,181184.45
1539,230264.09
1540,122775.00666666667
1541,150888.79333333333
1542,139609.69666666666
1543,238453.62666666668
1544,75582.83333333333
1545,95648.34666666666
1546,122266.78666666667
1547,129628.02333333333
1548,129822.28666666667
1549,110523.175
1550,153017.12
1551,114705.4
1552,147055.79666666666
1553,138123.56666666668
1554,111243.94
1555,161408.71333333335
1556,103454.04666666666
1557,114818.48
1558,95858.83333333333
1559,119814.38333333333
1560,152137.06666666668
1561,137608.51666666666
